horario,tensao_p1(V),tensao_p2(V),irradiacao(W/m2)
2022-08-21 14:47:18.455965,0.0,0.0,null
2022-08-21 14:47:18.474989,0.0,0.0,null
2022-08-21 14:47:18.575036,0.0,0.0,null
2022-08-21 14:47:18.675101,0.0,0.0,null
2022-08-21 14:47:18.774996,0.0,0.0,null
2022-08-21 14:47:18.875089,0.0,0.0,null
2022-08-21 14:47:18.974988,0.0,0.0,null
2022-08-21 14:47:19.075033,0.0,0.0,null
2022-08-21 14:47:19.175080,0.0,0.0,null
2022-08-21 14:47:19.275217,0.0,0.0,null
2022-08-21 14:47:19.375024,0.0,0.0,null
2022-08-21 14:47:19.475025,0.0,0.0,null
2022-08-21 14:47:19.574898,0.0,0.0,null
2022-08-21 14:47:19.674967,0.0,0.0,null
2022-08-21 14:47:19.774955,0.0,0.0,null
2022-08-21 14:47:19.874903,0.0,0.0,null
2022-08-21 14:47:19.974991,0.0,0.0,null
2022-08-21 14:47:20.075046,0.0,0.0,null
2022-08-21 14:47:20.174911,0.0,0.0,null
2022-08-21 14:47:20.274930,0.0,0.0,null
2022-08-21 14:47:20.374981,0.0,0.0,null
2022-08-21 14:47:20.474915,0.0,0.0,null
2022-08-21 14:47:20.574937,0.0,0.0,null
2022-08-21 14:47:20.674926,0.0,0.0,null
2022-08-21 14:47:20.774988,0.0,0.0,null
2022-08-21 14:47:20.874888,0.0,0.0,null
2022-08-21 14:47:20.975157,0.0,0.0,null
2022-08-21 14:47:21.075004,0.0,0.0,null
2022-08-21 14:47:21.174979,0.0,0.0,null
2022-08-21 14:47:21.274919,0.0,0.0,null
2022-08-21 14:47:21.374970,0.0,0.0,null
2022-08-21 14:47:21.474950,0.0,0.0,null
2022-08-21 14:47:21.574877,0.0,0.0,null
2022-08-21 14:47:21.674938,0.0,0.0,null
2022-08-21 14:47:21.775009,0.0,0.0,null
2022-08-21 14:47:21.874913,0.0,0.0,null
2022-08-21 14:47:21.974997,0.0,0.0,null
2022-08-21 14:47:22.074984,0.0,0.0,null
2022-08-21 14:47:22.175053,0.0,0.0,null
2022-08-21 14:47:22.274888,0.0,0.0,null
2022-08-21 14:47:22.375062,0.0,0.0,null
2022-08-21 14:47:22.474974,0.0,0.0,null
2022-08-21 14:47:22.574905,0.0,0.0,null
2022-08-21 14:47:22.675244,0.0,0.0,null
2022-08-21 14:47:22.774876,0.0,0.0,null
2022-08-21 14:47:22.874910,0.0,0.0,null
2022-08-21 14:47:22.974998,0.0,0.0,null
2022-08-21 14:47:23.075139,0.0,0.0,null
2022-08-21 14:47:23.174958,0.0,0.0,null
2022-08-21 14:47:23.274986,0.0,0.0,null
2022-08-21 14:47:23.374979,0.0,0.0,null
2022-08-21 14:47:23.474995,0.0,0.0,null
2022-08-21 14:47:23.574874,0.0,0.0,null
2022-08-21 14:47:23.674984,0.0,0.0,null
2022-08-21 14:47:23.774877,0.0,0.0,null
2022-08-21 14:47:23.875164,0.0,0.0,null
2022-08-21 14:47:23.975011,0.0,0.0,null
2022-08-21 14:47:24.075000,0.0,0.0,null
2022-08-21 14:47:24.174983,0.0,0.0,null
2022-08-21 14:47:24.274961,0.0,0.0,null
2022-08-21 14:47:24.374912,0.0,0.0,null
2022-08-21 14:47:24.475126,0.0,0.0,null
2022-08-21 14:47:24.574946,0.0,0.0,null
2022-08-21 14:47:24.675225,0.0,0.0,null
2022-08-21 14:47:24.774900,0.0,0.0,null
2022-08-21 14:47:24.874996,0.0,0.0,null
2022-08-21 14:47:24.974988,0.0,0.0,null
2022-08-21 14:47:25.075059,0.0,0.0,null
2022-08-21 14:47:25.175039,0.0,0.0,null
2022-08-21 14:47:25.274985,0.0,0.0,null
2022-08-21 14:47:25.374951,0.0,0.0,null
2022-08-21 14:47:25.475047,0.0,0.0,null
2022-08-21 14:47:25.575020,0.0,0.0,null
2022-08-21 14:47:25.675048,0.0,0.0,null
2022-08-21 14:47:25.774994,0.0,0.0,null
2022-08-21 14:47:25.875229,0.0,0.0,null
2022-08-21 14:47:25.975093,0.0,0.0,null
2022-08-21 14:47:26.074985,0.0,0.0,null
2022-08-21 14:47:26.175024,0.0,0.0,null
2022-08-21 14:47:26.275008,0.0,0.0,null
2022-08-21 14:47:26.375005,0.0,0.0,null
2022-08-21 14:47:26.474997,0.0,0.0,null
2022-08-21 14:47:26.575003,0.0,0.0,null
2022-08-21 14:47:26.674922,0.0,0.0,null
2022-08-21 14:47:26.775093,0.0,0.0,null
2022-08-21 14:47:26.874975,0.0,0.0,null
2022-08-21 14:47:26.975064,0.0,0.0,null
2022-08-21 14:47:27.074994,0.0,0.0,null
2022-08-21 14:47:27.174927,0.0,0.0,null
2022-08-21 14:47:27.274981,0.0,0.0,null
2022-08-21 14:47:27.374883,0.0,0.0,null
2022-08-21 14:47:27.475002,0.0,0.0,null
2022-08-21 14:48:10.536201,0.0,0.0,null
2022-08-21 14:48:10.574693,0.0,0.0,null
2022-08-21 14:48:10.674505,0.0,0.0,null
