horario,tensao_p1(V),tensao_p2(V),irradiacao(W/m2)
2022-08-21 18:00:00.074430,0.0,0.0,null
2022-08-21 18:00:00.174435,0.0,0.0,null
2022-08-21 18:00:00.274430,0.0,0.0,null
2022-08-21 18:00:00.374430,0.0,0.0,null
2022-08-21 18:00:00.474430,0.0,0.0,null
2022-08-21 18:00:00.574432,0.0,0.0,null
2022-08-21 18:00:00.674430,0.0,0.0,null
2022-08-21 18:00:00.774433,0.0,0.0,null
2022-08-21 18:00:00.874432,0.0,0.0,null
2022-08-21 18:00:00.974432,0.0,0.0,null
2022-08-21 18:00:01.074431,0.0,0.0,null
2022-08-21 18:00:01.174430,0.0,0.0,null
2022-08-21 18:00:01.274429,0.0,0.0,null
2022-08-21 18:00:01.374429,0.0,0.0,null
2022-08-21 18:00:01.474436,0.0,0.0,null
2022-08-21 18:00:01.574431,0.0,0.0,null
2022-08-21 18:00:01.674432,0.0,0.0,null
2022-08-21 18:00:01.774432,0.0,0.0,null
2022-08-21 18:00:01.874431,0.0,0.0,null
2022-08-21 18:00:01.974431,0.0,0.0,null
2022-08-21 18:00:02.074431,0.0,0.0,null
2022-08-21 18:00:02.174430,0.0,0.0,null
2022-08-21 18:00:02.274452,0.0,0.0,null
2022-08-21 18:00:02.374434,0.0,0.0,null
2022-08-21 18:00:02.474433,0.0,0.0,null
2022-08-21 18:00:02.574431,0.0,0.0,null
2022-08-21 18:00:02.674432,0.0,0.0,null
2022-08-21 18:00:02.774432,0.0,0.0,null
2022-08-21 18:00:02.874432,0.0,0.0,null
2022-08-21 18:00:02.974432,0.0,0.0,null
2022-08-21 18:00:03.074444,0.0,0.0,null
2022-08-21 18:00:03.174431,0.0,0.0,null
2022-08-21 18:00:03.274426,0.0,0.0,null
2022-08-21 18:00:03.374431,0.0,0.0,null
2022-08-21 18:00:03.474430,0.0,0.0,null
2022-08-21 18:00:03.574429,0.0,0.0,null
2022-08-21 18:00:03.674434,0.0,0.0,null
2022-08-21 18:00:03.774430,0.0,0.0,null
2022-08-21 18:00:03.874475,0.0,0.0,null
2022-08-21 18:00:03.974430,0.0,0.0,null
2022-08-21 18:00:04.074430,0.0,0.0,null
2022-08-21 18:00:04.174420,0.0,0.0,null
2022-08-21 18:00:04.274422,0.0,0.0,null
2022-08-21 18:00:04.374409,0.0,0.0,null
2022-08-21 18:00:04.474406,0.0,0.0,null
2022-08-21 18:00:04.574413,0.0,0.0,null
2022-08-21 18:00:04.674408,0.0,0.0,null
2022-08-21 18:00:04.774406,0.0,0.0,null
2022-08-21 18:00:04.874410,0.0,0.0,null
2022-08-21 18:00:04.974489,0.0,0.0,null
2022-08-21 18:00:05.074422,0.0,0.0,null
2022-08-21 18:00:05.174431,0.0,0.0,null
2022-08-21 18:00:05.274424,0.0,0.0,null
2022-08-21 18:00:05.374428,0.0,0.0,null
