horario,tensao_p1(V),tensao_p2(V),corrente(A),radiacao(W/m2)
2022-08-11 21:07:24.695948,0.0,0.0,-25.0,0.0
2022-08-11 21:07:24.795973,0.0,0.0,-25.0,0.0
2022-08-11 21:07:24.896102,0.0,0.0,-25.0,0.0
2022-08-11 21:07:24.995893,0.0,0.0,-25.0,0.0
2022-08-11 21:07:25.095892,0.0,0.0,-25.0,0.0
2022-08-11 21:07:25.195891,0.0,0.0,-25.0,0.0
2022-08-11 21:07:25.295892,0.0,0.0,-25.0,0.0
2022-08-11 21:07:25.395890,0.0,0.0,-25.0,0.0
2022-08-11 21:07:25.495886,0.0,0.0,-25.0,0.0
2022-08-11 21:07:25.595943,0.0,0.0,-25.0,0.0
2022-08-11 21:07:25.922965,0.0,0.0,-25.0,0.0
2022-08-11 21:07:25.995963,0.0,0.0,-25.0,0.0
2022-08-11 21:07:26.095969,0.0,0.0,-25.0,0.0
2022-08-11 21:07:26.195972,0.0,0.0,-25.0,0.0
2022-08-11 21:07:26.295969,0.0,0.0,-25.0,0.0
2022-08-11 21:07:26.395967,0.0,0.0,-25.0,0.0
2022-08-11 21:07:26.495953,0.0,0.0,-25.0,0.0
2022-08-11 21:07:26.595964,0.0,0.0,-25.0,0.0
2022-08-11 21:07:26.832931,0.0,0.0,-25.0,0.0
2022-08-11 21:07:26.896013,0.0,0.0,-25.0,0.0
2022-08-11 21:07:26.995949,0.0,0.0,-25.0,0.0
2022-08-11 21:07:27.095952,0.0,0.0,-25.0,0.0
2022-08-11 21:07:27.195944,0.0,0.0,-25.0,0.0
2022-08-11 21:07:27.296017,0.0,0.0,-25.0,0.0
2022-08-11 21:07:27.396011,0.0,0.0,-25.0,0.0
2022-08-11 21:07:27.495955,0.0,0.0,-25.0,0.0
2022-08-11 21:07:27.595955,0.0,0.0,-25.0,0.0
2022-08-11 21:07:27.832917,0.0,0.0,-25.0,0.0
2022-08-11 21:07:27.895960,0.0,0.0,-25.0,0.0
2022-08-11 21:07:27.995964,0.0,0.0,-25.0,0.0
2022-08-11 21:07:28.095931,0.0,0.0,-25.0,0.0
2022-08-11 21:07:28.195894,0.0,0.0,-25.0,0.0
2022-08-11 21:07:28.295895,0.0,0.0,-25.0,0.0
2022-08-11 21:07:28.395891,0.0,0.0,-25.0,0.0
2022-08-11 21:07:28.495917,0.0,0.0,-25.0,0.0
2022-08-11 21:07:28.595922,0.0,0.0,-25.0,0.0
2022-08-11 21:07:28.832994,0.0,0.0,-25.0,0.0
2022-08-11 21:07:28.895958,0.0,0.0,-25.0,0.0
2022-08-11 21:07:28.995988,0.0,0.0,-25.0,0.0
2022-08-11 21:07:29.095946,0.0,0.0,-25.0,0.0
2022-08-11 21:07:29.195948,0.0,0.0,-25.0,0.0
2022-08-11 21:07:29.295961,0.0,0.0,-25.0,0.0
2022-08-11 21:07:29.395931,0.0,0.0,-25.0,0.0
2022-08-11 21:07:29.496066,0.0,0.0,-25.0,0.0
2022-08-11 21:07:29.595922,0.0,0.0,-25.0,0.0
