horario,tensao_p1(V),tensao_p2(V),tensao_p3(V),tensao_p4(V),corrente_p1p2(A),corrente_p3p4(A),irradiacao(W/m2)
2022-08-09 09:55:02.344997,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:02.444970,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:02.545076,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:02.645252,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:02.745267,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:03.001437,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:03.045082,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:03.145132,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:03.245119,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:03.345384,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:03.445093,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:03.545084,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:03.645471,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:03.745079,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:03.991516,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:04.045075,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:04.145040,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:04.245143,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:04.345233,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:04.445242,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:04.545022,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:04.645094,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:04.745074,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:05.001415,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:05.045061,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:05.145123,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:05.245196,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:05.345074,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:05.445070,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:05.545014,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:05.645194,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
2022-08-09 09:55:05.745095,0.0,0.0,0.0,0.0,-25.0,-25.0,0.0
