horario,tensao_p1(V),tensao_p2(V),irradiacao(W/m2)
2022-08-09 09:53:28.649075,0.0,0.0,null
2022-08-09 09:53:28.749166,0.0,0.0,null
2022-08-09 09:53:28.848992,0.0,0.0,null
2022-08-09 09:53:28.949048,0.0,0.0,null
2022-08-09 09:53:29.048942,0.0,0.0,null
2022-08-09 09:53:29.149076,0.0,0.0,null
2022-08-09 09:53:29.248959,0.0,0.0,null
2022-08-09 09:53:29.349108,0.0,0.0,null
2022-08-09 09:53:29.448962,0.0,0.0,null
2022-08-09 09:53:29.549053,0.0,0.0,null
2022-08-09 09:53:29.649046,0.0,0.0,null
2022-08-09 09:53:29.748992,0.0,0.0,null
2022-08-09 09:53:29.849106,0.0,0.0,null
2022-08-09 09:53:29.949024,0.0,0.0,null
2022-08-09 09:53:30.048945,0.0,0.0,null
2022-08-09 09:53:30.149022,0.0,0.0,null
2022-08-09 09:53:30.248948,0.0,0.0,null
2022-08-09 09:53:30.348947,0.0,0.0,null
2022-08-09 09:53:30.449077,0.0,0.0,null
2022-08-09 09:53:30.548984,0.0,0.0,null
2022-08-09 09:53:30.649056,0.0,0.0,null
2022-08-09 09:53:30.749034,0.0,0.0,null
2022-08-09 09:53:30.849049,0.0,0.0,null
2022-08-09 09:53:30.948974,0.0,0.0,null
2022-08-09 09:53:31.049074,0.0,0.0,null
2022-08-09 09:53:31.149099,0.0,0.0,null
2022-08-09 09:53:31.249036,0.0,0.0,null
2022-08-09 09:53:31.349013,0.0,0.0,null
2022-08-09 09:53:31.449037,0.0,0.0,null
2022-08-09 09:53:31.549009,0.0,0.0,null
2022-08-09 09:53:31.649061,0.0,0.0,null
2022-08-09 09:53:31.748934,0.0,0.0,null
2022-08-09 09:53:31.849106,0.0,0.0,null
2022-08-09 09:53:31.949064,0.0,0.0,null
2022-08-09 09:53:32.049027,0.0,0.0,null
2022-08-09 09:53:32.149032,0.0,0.0,null
2022-08-09 09:53:32.249021,0.0,0.0,null
2022-08-09 09:53:32.348928,0.0,0.0,null
2022-08-09 09:53:32.449071,0.0,0.0,null
2022-08-09 09:53:32.548932,0.0,0.0,null
2022-08-09 09:53:32.649189,0.0,0.0,null
2022-08-09 09:53:32.749079,0.0,0.0,null
2022-08-09 09:53:32.849498,0.0,0.0,null
