horario,tensao_p1(V),tensao_p2(V),corrente(A),radiacao(W/m2)
2022-08-08 18:52:54.134289,0.0,0.0,-25.0,0.0
2022-08-08 18:52:54.234378,0.0,0.0,-25.0,0.0
2022-08-08 18:52:54.334593,0.0,0.0,-25.0,0.0
2022-08-08 18:52:54.434342,0.0,0.0,-25.0,0.0
2022-08-08 18:52:54.534303,0.0,0.0,-25.0,0.0
2022-08-08 18:52:54.634360,0.0,0.0,-25.0,0.0
2022-08-08 18:52:54.734385,0.0,0.0,-25.0,0.0
2022-08-08 18:52:54.834385,0.0,0.0,-25.0,0.0
2022-08-08 18:52:54.934376,0.0,0.0,-25.0,0.0
2022-08-08 18:52:55.034442,0.0,0.0,-25.0,0.0
2022-08-08 18:52:55.134331,0.0,0.0,-25.0,0.0
2022-08-08 18:52:55.234314,0.0,0.0,-25.0,0.0
2022-08-08 18:52:55.334382,0.0,0.0,-25.0,0.0
2022-08-08 18:52:55.434437,0.0,0.0,-25.0,0.0
2022-08-08 18:52:55.534414,0.0,0.0,-25.0,0.0
2022-08-08 18:52:55.634311,0.0,0.0,-25.0,0.0
2022-08-08 18:52:55.734400,0.0,0.0,-25.0,0.0
2022-08-08 18:52:55.834271,0.0,0.0,-25.0,0.0
2022-08-08 18:52:55.934311,0.0,0.0,-25.0,0.0
2022-08-08 18:52:56.034374,0.0,0.0,-25.0,0.0
2022-08-08 18:52:56.134439,0.0,0.0,-25.0,0.0
2022-08-08 18:52:56.234436,0.0,0.0,-25.0,0.0
2022-08-08 18:52:56.334335,0.0,0.0,-25.0,0.0
2022-08-08 18:52:56.434413,0.0,0.0,-25.0,0.0
2022-08-08 18:52:56.534325,0.0,0.0,-25.0,0.0
2022-08-08 18:52:56.634486,0.0,0.0,-25.0,0.0
2022-08-08 18:52:56.734389,0.0,0.0,-25.0,0.0
2022-08-08 18:52:56.834434,0.0,0.0,-25.0,0.0
2022-08-08 18:52:56.934275,0.0,0.0,-25.0,0.0
2022-08-08 18:52:57.034275,0.0,0.0,-25.0,0.0
2022-08-08 18:52:57.134271,0.0,0.0,-25.0,0.0
2022-08-08 18:52:57.234279,0.0,0.0,-25.0,0.0
2022-08-08 18:52:57.334710,0.0,0.0,-25.0,0.0
2022-08-08 18:52:57.434276,0.0,0.0,-25.0,0.0
2022-08-08 18:52:57.534381,0.0,0.0,-25.0,0.0
2022-08-08 18:52:57.634376,0.0,0.0,-25.0,0.0
2022-08-08 18:52:57.734373,0.0,0.0,-25.0,0.0
2022-08-08 18:52:57.834676,0.0,0.0,-25.0,0.0
2022-08-08 18:52:57.934401,0.0,0.0,-25.0,0.0
2022-08-08 18:52:58.034439,0.0,0.0,-25.0,0.0
2022-08-08 18:52:58.134379,0.0,0.0,-25.0,0.0
2022-08-08 18:52:58.234275,0.0,0.0,-25.0,0.0
2022-08-08 18:52:58.334303,0.0,0.0,-25.0,0.0
2022-08-08 18:52:58.434292,0.0,0.0,-25.0,0.0
2022-08-08 18:52:58.534356,0.0,0.0,-25.0,0.0
2022-08-08 18:52:58.634373,0.0,0.0,-25.0,0.0
2022-08-08 18:52:58.734423,0.0,0.0,-25.0,0.0
2022-08-08 18:52:58.834287,0.0,0.0,-25.0,0.0
2022-08-08 18:52:58.934453,0.0,0.0,-25.0,0.0
2022-08-08 18:52:59.034297,0.0,0.0,-25.0,0.0
2022-08-08 18:52:59.134421,0.0,0.0,-25.0,0.0
2022-08-08 18:52:59.234309,0.0,0.0,-25.0,0.0
2022-08-08 18:52:59.334303,0.0,0.0,-25.0,0.0
2022-08-08 18:52:59.434381,0.0,0.0,-25.0,0.0
2022-08-08 18:52:59.534289,0.0,0.0,-25.0,0.0
2022-08-08 18:52:59.634375,0.0,0.0,-25.0,0.0
2022-08-08 18:52:59.734320,0.0,0.0,-25.0,0.0
2022-08-08 18:52:59.834390,0.0,0.0,-25.0,0.0
2022-08-08 18:52:59.934369,0.0,0.0,-25.0,0.0
2022-08-08 18:53:00.034320,0.0,0.0,-25.0,0.0
2022-08-08 18:53:00.134292,0.0,0.0,-25.0,0.0
2022-08-08 18:53:00.234339,0.0,0.0,-25.0,0.0
2022-08-08 18:53:00.334253,0.0,0.0,-25.0,0.0
2022-08-08 18:53:00.434958,0.0,0.0,-25.0,0.0
2022-08-08 18:53:00.534261,0.0,0.0,-25.0,0.0
2022-08-08 18:53:00.634414,0.0,0.0,-25.0,0.0
2022-08-08 18:53:00.734387,0.0,0.0,-25.0,0.0
2022-08-08 18:53:00.834374,0.0,0.0,-25.0,0.0
2022-08-08 18:53:00.934528,0.0,0.0,-25.0,0.0
